GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
osurges-demo,com.osurges.demo,HelloWorld,4,5,0,0,1,2,1,2,1,2
osurges-demo,com.osurges.demo,DemoApp,12,0,0,0,5,0,3,0,3,0
